EntryNumber,SequenceNumber,ParentEntryNumber,InUse,ParentPath,FileName,Extension,IsDirectory,Created0x10,Created0x30,LastModified0x10,LastAccess0x10,LastRecordChange0x10,FileSize,Flags,SI_Attributes
148012,1,5,True,\Users\katerina.morfopoulou\AppData\Local,Temp,,True,2025-04-16T09:33:12.0000000Z,2025-04-16T09:33:12.0000000Z,2026-04-12T09:57:00.0000000Z,2026-04-12T09:57:00.0000000Z,2026-04-12T09:57:00.0000000Z,0,InUse,Directory
148100,2,148012,True,\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update,,,True,2026-04-12T09:40:53.0000000Z,2026-04-12T09:40:53.0000000Z,2026-04-12T09:40:53.0000000Z,2026-04-12T09:40:53.0000000Z,2026-04-12T09:40:53.0000000Z,0,InUse,Directory
148101,3,148100,True,\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive\Update,OneDriveSync.exe,exe,False,2026-04-12T09:40:53.0117187Z,2026-04-12T09:40:53.0117187Z,2026-04-12T09:40:53.0117187Z,2026-04-12T09:40:53.0117187Z,2026-04-12T09:40:53.0117187Z,189952,InUse,Archive
148102,1,5,True,\Users\katerina.morfopoulou\AppData\Local\Microsoft\OneDrive,OneDrive.exe,exe,False,2024-11-14T21:04:00.0000000Z,2024-11-14T21:04:00.0000000Z,2025-04-16T09:33:00.0000000Z,2026-04-12T09:00:44.0000000Z,2025-04-16T09:33:00.0000000Z,27231232,InUse,Archive
148105,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Temp,katerina.morfopoulou@northwind.lab.ost,ost,False,2025-04-16T10:04:12.0000000Z,2025-04-16T10:04:12.0000000Z,2026-04-12T09:16:12.0000000Z,2026-04-12T09:16:12.0000000Z,2026-04-12T09:16:12.0000000Z,40894464,InUse,Archive
148120,1,148012,True,\Users\katerina.morfopoulou\AppData\Roaming\Slack\storage,slack-downloads,,True,2025-05-11T10:22:00.0000000Z,2025-05-11T10:22:00.0000000Z,2026-04-12T09:23:04.0000000Z,2026-04-12T09:23:04.0000000Z,2026-04-12T09:23:04.0000000Z,0,InUse,Directory
148140,1,148012,True,\Users\katerina.morfopoulou\AppData\Roaming\Microsoft\Teams\Cache,f_00001a,,False,2025-08-01T12:00:00.0000000Z,2025-08-01T12:00:00.0000000Z,2026-04-12T09:25:12.0000000Z,2026-04-12T09:25:12.0000000Z,2026-04-12T09:25:12.0000000Z,148012,InUse,Archive
148411,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Temp,MSI3f2a0.LOG,LOG,False,2026-04-12T09:04:12.0000000Z,2026-04-12T09:04:12.0000000Z,2026-04-12T09:04:15.0000000Z,2026-04-12T09:04:15.0000000Z,2026-04-12T09:04:15.0000000Z,10241,InUse,Archive
148412,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Temp,MSI4a1b2.LOG,LOG,False,2026-04-12T09:41:32.0000000Z,2026-04-12T09:41:32.0000000Z,2026-04-12T09:41:33.0000000Z,2026-04-12T09:41:33.0000000Z,2026-04-12T09:41:33.0000000Z,8112,InUse,Archive
148490,1,148012,True,\Users\katerina.morfopoulou\AppData\Local\Temp,SlackSetup.log,log,False,2026-04-12T09:22:12.0000000Z,2026-04-12T09:22:12.0000000Z,2026-04-12T09:22:12.0000000Z,2026-04-12T09:22:12.0000000Z,2026-04-12T09:22:12.0000000Z,4088,InUse,Archive
