RecordNumber,EventId,TimeCreated,Provider,Computer,Channel,LogonType,TargetUserName,TargetDomainName,IpAddress,IpPort,ProcessName
7414981,4624,2026-04-12T09:00:02.011Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\services.exe
7414982,4624,2026-04-12T09:00:02.114Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,LOCAL SERVICE,NT AUTHORITY,-,-,C:\Windows\System32\svchost.exe
7414983,4624,2026-04-12T09:00:02.183Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,NETWORK SERVICE,NT AUTHORITY,-,-,C:\Windows\System32\svchost.exe
7414990,4672,2026-04-12T09:00:02.311Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,-
7414991,4688,2026-04-12T09:00:04.011Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\svchost.exe
7414992,4688,2026-04-12T09:00:06.882Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\svchost.exe
7415005,4776,2026-04-12T09:00:08.021Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,FIN-WKS-07$,-,-,-,C:\Windows\System32\lsass.exe
7415044,4624,2026-04-12T09:00:41.010Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,3,FIN-WKS-07$,NORTHWIND,10.10.10.11,-,C:\Windows\System32\lsass.exe
7415080,4688,2026-04-12T09:02:33.881Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\gpupdate.exe
7415081,4634,2026-04-12T09:02:44.211Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,SYSTEM,NT AUTHORITY,-,-,-
7415082,4688,2026-04-12T09:03:07.402Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
7415083,4688,2026-04-12T09:04:11.500Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\msiexec.exe
7415084,4688,2026-04-12T09:05:13.401Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\CCM\CcmExec.exe
7415085,4688,2026-04-12T09:05:31.221Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
7415113,4634,2026-04-12T09:12:44.088Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,LOCAL SERVICE,NT AUTHORITY,-,-,-
7415114,4624,2026-04-12T09:13:11.221Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,LOCAL SERVICE,NT AUTHORITY,-,-,C:\Windows\System32\svchost.exe
7415198,4688,2026-04-12T09:17:00.011Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\taskhostw.exe
7415221,4624,2026-04-12T09:20:14.221Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\services.exe
7415222,4688,2026-04-12T09:20:44.211Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Windows\System32\backgroundTaskHost.exe
7415280,4624,2026-04-12T09:22:01.500Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,3,FIN-WKS-07$,NORTHWIND,10.10.10.11,-,C:\Windows\System32\lsass.exe
7415281,4688,2026-04-12T09:22:03.121Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Users\katerina.morfopoulou\AppData\Local\slack\slack.exe
7415300,4688,2026-04-12T09:24:11.481Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,SYSTEM,NT AUTHORITY,-,-,C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe
7415310,4688,2026-04-12T09:25:00.221Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,-,katerina.morfopoulou,NORTHWIND,-,-,C:\Users\katerina.morfopoulou\AppData\Local\Microsoft\Teams\current\Teams.exe
7415320,4634,2026-04-12T09:27:22.100Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,3,FIN-WKS-07$,NORTHWIND,-,-,-
7415360,4624,2026-04-12T09:29:14.010Z,Microsoft-Windows-Security-Auditing,FIN-WKS-07,Security,5,LOCAL SERVICE,NT AUTHORITY,-,-,C:\Windows\System32\svchost.exe
