RecordNumber,EventId,TimeCreated,Computer,User,ProcessGuid,Image,ParentImage,CommandLine,ParentCommandLine,IntegrityLevel,Hashes,TargetImage,TargetObject,Details,GrantedAccess,CallTrace,DestinationHostname,DestinationIp,DestinationPort
101300,1,2026-04-12T08:59:47.001Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a001...0000},C:\Windows\System32\wininit.exe,C:\Windows\System32\smss.exe,"wininit.exe","C:\Windows\System32\smss.exe",System,"SHA256=0aa1...",,,,,,,,
101305,1,2026-04-12T08:59:55.311Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a010...0000},C:\Windows\System32\services.exe,C:\Windows\System32\wininit.exe,"services.exe","wininit.exe",System,"SHA256=1aa1...",,,,,,,,
101310,1,2026-04-12T08:59:58.201Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a020...0000},C:\Windows\System32\lsass.exe,C:\Windows\System32\wininit.exe,"lsass.exe","wininit.exe",System,"SHA256=2aa1...",,,,,,,,
101315,1,2026-04-12T09:00:01.007Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a030...0000},C:\Windows\System32\csrss.exe,C:\Windows\System32\smss.exe,"csrss.exe","smss.exe",System,"SHA256=3aa1...",,,,,,,,
101322,1,2026-04-12T09:00:04.011Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a0f1...0001},C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,"C:\Windows\System32\svchost.exe -k netsvcs -p","C:\Windows\System32\services.exe",System,"SHA256=aa1e...",,,,,,,,
101324,1,2026-04-12T09:00:06.882Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a0f2...0001},C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,"C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p","C:\Windows\System32\services.exe",System,"SHA256=aa1e...",,,,,,,,
101325,1,2026-04-12T09:00:07.014Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a0f3...0001},C:\Windows\System32\svchost.exe,C:\Windows\System32\services.exe,"C:\Windows\System32\svchost.exe -k WerSvcGroup","C:\Windows\System32\services.exe",System,"SHA256=aa1e...",,,,,,,,
101331,3,2026-04-12T09:00:18.410Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a0f1...0001},C:\Windows\System32\svchost.exe,,,,,,,,,,,time.windows.com,20.101.57.9,123
101332,3,2026-04-12T09:00:19.021Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a0f1...0001},C:\Windows\System32\svchost.exe,,,,,,,,,,,dc01.northwind.local,10.10.10.11,88
101333,3,2026-04-12T09:00:19.114Z,FIN-WKS-07,NT AUTHORITY\SYSTEM,{a0f1...0001},C:\Windows\System32\svchost.exe,,,,,,,,,,,dc01.northwind.local,10.10.10.11,389
