RecordNumber,EventId,TimeCreated,Computer,User,OperationName,ClientMachine,ClientProcessId,ProviderName,QueryContent
2001,5857,2026-04-12T09:00:33.501Z,FIN-WKS-07,SYSTEM,ProviderStart,FIN-WKS-07,1088,root\subscription,-
2002,5857,2026-04-12T09:00:34.221Z,FIN-WKS-07,SYSTEM,ProviderStart,FIN-WKS-07,1088,root\cimv2,-
2003,5857,2026-04-12T09:00:35.101Z,FIN-WKS-07,SYSTEM,ProviderStart,FIN-WKS-07,1088,root\ccm,-
2004,5857,2026-04-12T09:00:36.011Z,FIN-WKS-07,SYSTEM,ProviderStart,FIN-WKS-07,1088,root\Microsoft\Windows\Defender,-
2010,5861,2026-04-12T09:05:12.021Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\cimv2,SELECT * FROM Win32_QuickFixEngineering
2011,5861,2026-04-12T09:05:12.401Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\cimv2,SELECT * FROM Win32_Product
2012,5861,2026-04-12T09:05:13.221Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\cimv2,SELECT * FROM Win32_Processor
2013,5861,2026-04-12T09:05:13.581Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\cimv2,SELECT * FROM Win32_ComputerSystem
2014,5861,2026-04-12T09:07:00.011Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\ccm\clientsdk,SELECT * FROM CCM_SoftwareUpdate WHERE EvaluationState < 8
2015,5861,2026-04-12T09:15:33.881Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\ccm\policy,SELECT * FROM CCM_ApplicationCIAssignment
2016,5861,2026-04-12T09:16:04.101Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\Microsoft\Windows\Defender,SELECT * FROM MSFT_MpPreference
2017,5861,2026-04-12T09:17:11.211Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\Microsoft\Windows\Defender,SELECT * FROM MSFT_MpThreatCatalog
2018,5861,2026-04-12T09:18:44.882Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\cimv2,SELECT * FROM Win32_NetworkAdapterConfiguration WHERE IPEnabled = TRUE
2019,5861,2026-04-12T09:22:04.902Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\rsop\computer,SELECT * FROM RSOP_Session
2020,5861,2026-04-12T09:25:00.221Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\ccm\invagt,SELECT * FROM CCM_HistoryRecord
2021,5861,2026-04-12T09:26:00.001Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\cimv2,SELECT * FROM Win32_LogicalDisk WHERE DriveType = 3
2030,5861,2026-04-12T09:30:00.881Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\subscription,SELECT * FROM __EventFilter
2031,5861,2026-04-12T09:32:14.021Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\subscription,SELECT * FROM __EventConsumer
2032,5861,2026-04-12T09:34:14.700Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\cimv2,SELECT * FROM Win32_LogonSession WHERE LogonType = 2
2044,5861,2026-04-12T09:41:09.180Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,4120,root\subscription,SELECT * FROM Win32_ComputerSystem
2045,5861,2026-04-12T09:41:09.311Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,4120,root\cimv2,SELECT Caption,Version,BuildNumber FROM Win32_OperatingSystem
2046,5861,2026-04-12T09:41:09.502Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,4120,root\cimv2,SELECT Name,NumberOfCores FROM Win32_Processor
2047,5861,2026-04-12T09:41:09.780Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,4120,root\cimv2,SELECT Name,DriverVersion FROM Win32_VideoController
2048,5861,2026-04-12T09:41:09.881Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,4120,root\cimv2,SELECT SerialNumber FROM Win32_DiskDrive
2049,5861,2026-04-12T09:41:10.011Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,4120,root\cimv2,SELECT Manufacturer,SerialNumber FROM Win32_BIOS
2062,5861,2026-04-12T09:45:00.001Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\cimv2,SELECT * FROM Win32_Service WHERE State='Running'
2063,5861,2026-04-12T09:46:14.181Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\Microsoft\Windows\Defender,SELECT * FROM MSFT_MpComputerStatus
2064,5861,2026-04-12T09:48:04.011Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\cimv2,SELECT * FROM Win32_Process WHERE Name LIKE 'msiexec%'
2072,5861,2026-04-12T09:50:22.100Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\ccm\invagt,SELECT * FROM CCM_UpdateCIAssignment
2073,5861,2026-04-12T09:52:04.011Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\Microsoft\Windows\DeliveryOptimization,SELECT * FROM MSFT_DODownloadMode
2081,5861,2026-04-12T09:55:00.114Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\ccm,SELECT * FROM CCM_UpdateStatus
2082,5861,2026-04-12T09:56:04.211Z,FIN-WKS-07,SYSTEM,ExecQuery,FIN-WKS-07,1200,root\cimv2,SELECT * FROM Win32_NetworkLoginProfile
